ma_mon_hoc,ma_lop,ma_giang_vien,ngay_thi,ca_thi,phong_thi,hinh_thuc_thi,gk_ck
MA003,MA003.Q15,,2026-01-14,2,B6.08,,CK
MA003,MA003.Q15,,2026-01-14,2,B6.10,,CK
MA003,MA003.Q16,,2026-01-14,2,B1.04,,CK
MA003,MA003.Q16,,2026-01-14,2,B3.20,,CK
MA003,MA003.Q17,,2026-01-14,2,C311,,CK
MA003,MA003.Q17,,2026-01-14,2,C314,,CK
MA003,MA003.Q18,,2026-01-14,2,B1.16,,CK
MA003,MA003.Q18,,2026-01-14,2,B1.18,,CK
MA003,MA003.Q19,,2026-01-14,2,B1.06,,CK
MA003,MA003.Q19,,2026-01-14,2,B1.20,,CK
MA005,MA005.Q11,,2026-01-15,3,B3.10,,CK
MA005,MA005.Q11,,2026-01-15,3,B3.12,,CK
MA005,MA005.Q12,,2026-01-15,3,B6.06,,CK
MA005,MA005.Q13,,2026-01-15,3,B9.02,,CK
MA005,MA005.Q14,,2026-01-15,3,B6.02,,CK
MA005,MA005.Q14,,2026-01-15,3,B6.04,,CK
MA005,MA005.Q15,,2026-01-15,3,B6.12,,CK
SE313,SE313.Q11,,2026-01-06,3,B3.14,,CK
IT002,IT002.Q11,,2026-01-14,1,B9.02,,CK
IT002,IT002.Q11.CTTN,,2026-01-14,1,B3.14,,CK
IT002,IT002.Q12,,2026-01-14,1,B6.06,,CK
IT002,IT002.Q14,,2026-01-14,1,B3.20,,CK
CS3653,CS3653.Q11.CTTT,,2026-01-05,1,B1.20,,CK
IS353,IS353.Q11.CTTT,,2026-01-05,3,B1.16,,CK
IS353,IS353.Q12.CTTT,,2026-01-05,3,B1.18,,CK
MSIS4263,MSIS4263.Q11.CTTT,,2026-01-06,1,B1.20,,CK
MSIS4263,MSIS4263.Q12.CTTT,,2026-01-06,1,B1.22,,CK
CS4283,CS4283.Q11.CTTT,,2026-01-06,3,B1.20,,CK
CS4283,CS4283.Q12.CTTT,,2026-01-06,3,B1.22,,CK
EC204,EC204.Q11,,2026-01-06,3,B1.14,,CK
EC204,EC204.Q12,,2026-01-06,3,B9.02,,CK
IS353,IS353.Q11,,2026-01-06,3,B3.12,,CK
IS353,IS353.Q11,,2026-01-06,3,B6.04,,CK
EC213,EC213.Q11,,2026-01-07,1,B4.14,,CK
EC213,EC213.Q12,,2026-01-07,1,B3.14,,CK
MSIS207,MSIS207.Q11.CTTT,,2026-01-07,1,B1.12,,CK
MSIS207,MSIS207.Q12.CTTT,,2026-01-07,1,B1.16,,CK
MSIS207,MSIS207.Q13.CTTT,,2026-01-07,1,B1.18,,CK
MSIS207,MSIS207.Q14.CTTT,,2026-01-07,1,B1.22,,CK
IT004,IT004.Q11,,2026-01-07,2,B3.10,,CK
IT004,IT004.Q11,,2026-01-07,2,B3.12,,CK
IT004,IT004.Q11.CNVN,,2026-01-07,2,C213,,CK
IT004,IT004.Q11.CNVN,,2026-01-07,2,C214,,CK
IT004,IT004.Q11.CTTN,,2026-01-07,2,C309,,CK
IT004,IT004.Q11.CTTN,,2026-01-07,2,C311,,CK
